,AUC,accuracy,std
0,0.7283471359558316,0.8134704578870717,0.008554321800609794
1,0.749597423510467,0.8167971879029381,0.01347726019992417
2,0.7364130434782609,0.8216481709823263,0.008641099744967995
3,0.7453775592362548,0.7880286427245591,0.01671624366829678
4,0.7405897745571659,0.8296622058627708,0.01194259559551792
5,0.7345870715435934,0.8278903159431422,0.015374255010212416
6,0.7402878421900161,0.8266071484411646,0.012249723562848891
7,0.7455572808833679,0.8061421538743752,0.015484335386838922
8,0.7340119622728318,0.8215352527988877,0.010930389031253616
9,0.7330917874396136,0.8238409960976908,0.017768378666769426
10,0.7355000575109272,0.830482418560428,0.007642788568567461
11,0.7512149183344835,0.8191232609269561,0.014123274266662196
12,0.7484615827007131,0.8117367795161471,0.014315301990299446
13,0.7317474695192087,0.8241751033441422,0.014850090605213726
14,0.7322147458017023,0.8125808402326242,0.009234111898121553
15,0.7387853692201518,0.8061347400813276,0.013828482137628382
16,0.732308201058201,0.8188058977342498,0.013498078908217415
17,0.7325670002300437,0.8245681202865853,0.013775988267611058
18,0.7212445364619278,0.8217589484707715,0.012723618291972844
19,0.732279445594663,0.8286540254148098,0.006822424048098568
20,0.7405753968253967,0.8265113892421303,0.018376283003399437
21,0.7488569703243617,0.8142999575425133,0.015347760183973458
22,0.7670088566827696,0.8369375663406355,0.012207392102619908
23,0.7506613756613758,0.8103478260869565,0.016089211601598583
24,0.7350040257648953,0.8135744650004402,0.012572544624367844
25,0.7408773291925466,0.8136720512820513,0.012843344308664338
26,0.7237246951920865,0.8337858090387128,0.010667490621141267
27,0.7422360248447206,0.8346001225727285,0.015699377928450775
28,0.7545146077754773,0.8209014591774583,0.010589254291202235
29,0.7414524384633079,0.8148883699913929,0.013372927348946746
30,0.7390657349896479,0.8190602108272289,0.012550475541576319
31,0.7335159305268,0.8215320752657806,0.011263368615126194
32,0.7510567632850242,0.8191486183112442,0.011441721182887948
33,0.7280667701863354,0.8204197159689091,0.006554246036267133
34,0.7449677938808372,0.8204141532242767,0.012600764695639064
35,0.7364777432712216,0.8249334691155618,0.013442533386385925
36,0.7405466413618588,0.8163171594987342,0.014659700247131617
37,0.7482602944559467,0.8099954008891614,0.018718364897499864
38,0.7277217046238785,0.8002395032513319,0.011662736756328788
39,0.7494536461927765,0.8060212903875718,0.012960098887752482
40,0.7451043823326431,0.8138690396590519,0.01067534341794847
41,0.7554779158040027,0.8189504353747097,0.007828188092418059
42,0.7192316540142627,0.8066618327609125,0.014142461229950767
43,0.7346230158730158,0.8089036040732273,0.010333660649637536
44,0.732308201058201,0.8124958431252163,0.010871488941066485
45,0.7280595813204509,0.8093564903529316,0.009219860221301
46,0.7268877961812743,0.8168437473856193,0.014342403283519024
47,0.7469015988037727,0.8161498257839721,0.02201977731553867
48,0.7457441913963653,0.8156475032981098,0.015425067322527235
49,0.7463552449965493,0.8142052321788625,0.016782898806540252
50,0.7247814584771106,0.8335325509490925,0.014225936561018853
51,0.7326892109500804,0.8168083683225831,0.0107020531602352
52,0.7328904991948468,0.8127239464957153,0.014964450628054562
53,0.7326317000230044,0.8123351299063897,0.007041467065783034
54,0.7619119507706464,0.8115402059993182,0.012791654425901935
55,0.7305613066482631,0.8128183658354384,0.01313760513601475
56,0.7314167816885208,0.8056134095114604,0.017008431661323827
57,0.7351765585461238,0.819102230208081,0.011973621651696348
