,AUC,accuracy,std
0,0.6734026340004601,0.9337763878029712,0.029087009285431134
1,0.6606208304577869,0.949822811482363,0.037745003465496994
2,0.6894697492523578,0.9314480065356074,0.02304857849542066
3,0.6650276052449966,0.9383928319192414,0.04293711387831532
4,0.675401138716356,0.9605248267515704,0.03326524521499164
5,0.6649629054520358,0.9744049361100012,0.03754791476374516
6,0.668945537152059,0.9661028380471504,0.032935642830115144
7,0.6645962732919254,0.9439912454821394,0.04564558669952008
8,0.6616991603404647,0.9436162637589953,0.02069548942168197
9,0.6779675638371291,0.9378128639693475,0.02190504494479783
10,0.622821773636991,0.9673044925124792,0.027188371276117798
11,0.6720726938118242,0.9519121247604854,0.030285534970162
12,0.7276210605014952,0.9090502078669651,0.021587582420497926
13,0.6784348401196227,0.9624708749724393,0.04410725995564307
14,0.6790099493903842,0.9269021004611784,0.023025215178093278
15,0.6580184610075914,0.9379844961240311,0.03445036595858756
16,0.7096920289855072,0.9428216511568343,0.03449657304234265
17,0.6761847250977685,0.9542799597180261,0.036988197253925006
18,0.6741215205889118,0.9511138990307652,0.03181421425280087
19,0.7135955831608005,0.9114608555286521,0.016987308176106067
20,0.6876725327812284,0.963637751455121,0.03205622114080227
21,0.7152418334483551,0.916720609368013,0.023136686244567974
22,0.6538417299286865,0.9639262894564922,0.029060692591470448
23,0.6786361283643892,0.9577934328837507,0.04415125682272661
24,0.6788661720726937,0.9545153272576637,0.032278465453790865
25,0.6339285714285714,0.9539318647363842,0.03410087382494115
26,0.6660915573959053,0.9669353907099669,0.02310187739703574
27,0.6925034506556246,0.9622047181127549,0.0282000275205473
28,0.6790890269151139,0.9333729216152019,0.04027319241724839
29,0.7263414423740511,0.9065955117679255,0.016524505534699026
30,0.6368688175753392,0.9718423014143245,0.030728151956431485
31,0.6687298711755234,0.9402488528578168,0.02782026783239543
32,0.6775577984817115,0.9438217544163148,0.0364156559384551
33,0.7232502300437083,0.8987268110767278,0.015074665515401273
34,0.6785139176443524,0.935645087903338,0.02633035930032496
35,0.6625402576489532,0.9588991746431192,0.02455942606208442
36,0.7103318380492294,0.9191199257158686,0.020816542637047672
37,0.6862491373360938,0.9591633466135457,0.03832785281230308
38,0.6652864044168393,0.95157920952837,0.05663853868085989
39,0.7256585001150218,0.8989870620720268,0.024650657845668233
40,0.64215263400046,0.9509169363538297,0.04160181272550951
41,0.7369162640901771,0.9091638063098733,0.019170780807880653
