,AUC,accuracy,combination,std,,
94,0.746412756,0.874736747,"(133, 124, 22, 102, 91)",0.005618063,,
95,0.748188406,0.874799627,"(133, 124, 22, 102, 27)",0.012879035,,
96,0.750992063,0.879222851,"(133, 124, 22, 91, 27)",0.007832533,,
97,0.733372153,0.874673788,"(133, 124, 120, 102, 91)",0.0064878,,
98,0.734385783,0.880534553,"(133, 124, 120, 102, 27)",0.010180037,,
99,0.737268519,0.877863136,"(133, 124, 120, 91, 27)",0.008647843,,
100,0.752242926,0.874757895,"(133, 124, 102, 91, 27)",0.006776667,,
101,0.740927651,0.874444633,"(133, 22, 120, 102, 91)",0.008222106,,
102,0.741057051,0.876351532,"(133, 22, 120, 102, 27)",0.006439663,,
103,0.750345066,0.876848699,"(133, 22, 120, 91, 27)",0.003656019,,
104,0.758202496,0.874240671,"(133, 22, 102, 91, 27)",0.005259854,,
105,0.747110076,0.875239852,"(133, 120, 102, 91, 27)",0.009500095,,
106,0.75202726,0.876249702,"(124, 22, 120, 102, 91)",0.010024872,,
107,0.740604152,0.878645675,"(124, 22, 120, 102, 27)",0.014404727,,
108,0.743530021,0.882506706,"(124, 22, 120, 91, 27)",0.011048198,,
109,0.750373821,0.877677952,"(124, 22, 102, 91, 27)",0.010060589,,
110,0.746822521,0.88025822,"(124, 120, 102, 91, 27)",0.009979017,,
111,0.749151714,0.878240528,"(22, 120, 102, 91, 27)",0.009935264,,
112,0.737929894,0.87483883,"(133, 124, 22, 120, 102, 91)",0.009068581,,
113,0.75031631,0.879151138,"(133, 124, 22, 120, 102, 27)",0.009401727,,
114,0.745571659,0.88061125,"(133, 124, 22, 120, 91, 27)",0.011027446,,
115,0.746204279,0.875838876,"(133, 124, 22, 102, 91, 27)",0.009078637,,
116,0.740057798,0.877935596,"(133, 124, 120, 102, 91, 27)",0.009247217,,
117,0.746283356,0.875348739,"(133, 22, 120, 102, 91, 27)",0.009447102,,
118,0.749698068,0.879963377,"(124, 22, 120, 102, 91, 27)",0.00790923,,
119,0.747979929,0.879325435,"(133, 124, 22, 120, 102, 91, 27)",0.007078508,,
